nama_mobil,brand,tahun_rilis,jarak_tempuh(km),location,transmisi,plate_type,rear_camera,sun_roof,auto_retract_mirror,electric_parking_brake,map_navigator,vehicle_stability_control,keyless_push_start,sports_mode,360_camera_view,power_sliding_door,auto_cruise_control,harga_(Rp),cicilan_(Rp/month),combined_info
AVANZA E 1.3,Toyota,2018,128.262,Depok,Automatic,Plat ganjil,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,130000000,2650000,"Nama mobil: AVANZA E 1.3, Brand mobil: Toyota, Tahun perilisan mobil: 2018, Jarak yang telah ditempuh (km): 128.262, Lokasi penjual: Depok, Jenis transmisi: Automatic, Tipe plat nomor: Plat ganjil, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 130000000, Cicilan per bulan: 2650000"
SIRION M602RS 1.3,Daihatsu,2017,86.506,Jakarta Barat,Automatic,Plat ganjil,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,124000000,2530000,"Nama mobil: SIRION M602RS 1.3, Brand mobil: Daihatsu, Tahun perilisan mobil: 2017, Jarak yang telah ditempuh (km): 86.506, Lokasi penjual: Jakarta Barat, Jenis transmisi: Automatic, Tipe plat nomor: Plat ganjil, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 124000000, Cicilan per bulan: 2530000"
AYLA X 1.0,Daihatsu,2018,72.413,Bogor,Manual,Plat genap,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,91000000,1850000,"Nama mobil: AYLA X 1.0, Brand mobil: Daihatsu, Tahun perilisan mobil: 2018, Jarak yang telah ditempuh (km): 72.413, Lokasi penjual: Bogor, Jenis transmisi: Manual, Tipe plat nomor: Plat genap, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 91000000, Cicilan per bulan: 1850000"
SIRION M602RS 1.3,Daihatsu,2012,87.631,Jakarta Utara,Automatic,Plat ganjil,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,88000000,1790000,"Nama mobil: SIRION M602RS 1.3, Brand mobil: Daihatsu, Tahun perilisan mobil: 2012, Jarak yang telah ditempuh (km): 87.631, Lokasi penjual: Jakarta Utara, Jenis transmisi: Automatic, Tipe plat nomor: Plat ganjil, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 88000000, Cicilan per bulan: 1790000"
MOBILIO E 1.5,Honda,2017,63.267,Bogor,Automatic,Plat ganjil,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Ada atau memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,154000000,3140000,"Nama mobil: MOBILIO E 1.5, Brand mobil: Honda, Tahun perilisan mobil: 2017, Jarak yang telah ditempuh (km): 63.267, Lokasi penjual: Bogor, Jenis transmisi: Automatic, Tipe plat nomor: Plat ganjil, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Ada atau memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 154000000, Cicilan per bulan: 3140000"
HR-V E 1.5,Honda,2019,58.95,Jakarta Timur,Automatic,Plat genap,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Ada atau memiliki,Ada atau memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,264000000,5380000,"Nama mobil: HR-V E 1.5, Brand mobil: Honda, Tahun perilisan mobil: 2019, Jarak yang telah ditempuh (km): 58.95, Lokasi penjual: Jakarta Timur, Jenis transmisi: Automatic, Tipe plat nomor: Plat genap, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Ada atau memiliki, Electric parking brake: Ada atau memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 264000000, Cicilan per bulan: 5380000"
KIJANG INNOVA REBORN G 2.4,Toyota,2019,57.91,Bogor,Automatic,Plat genap,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,340000000,6930000,"Nama mobil: KIJANG INNOVA REBORN G 2.4, Brand mobil: Toyota, Tahun perilisan mobil: 2019, Jarak yang telah ditempuh (km): 57.91, Lokasi penjual: Bogor, Jenis transmisi: Automatic, Tipe plat nomor: Plat genap, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 340000000, Cicilan per bulan: 6930000"
CALYA G 1.2,Toyota,2017,92.204,Tangerang Selatan,Automatic,Plat ganjil,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,120000000,2440000,"Nama mobil: CALYA G 1.2, Brand mobil: Toyota, Tahun perilisan mobil: 2017, Jarak yang telah ditempuh (km): 92.204, Lokasi penjual: Tangerang Selatan, Jenis transmisi: Automatic, Tipe plat nomor: Plat ganjil, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 120000000, Cicilan per bulan: 2440000"
BRIO SATYA E 1.2,Honda,2019,46.521,Tangerang Selatan,Automatic,Plat ganjil,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Ada atau memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,156000000,3180000,"Nama mobil: BRIO SATYA E 1.2, Brand mobil: Honda, Tahun perilisan mobil: 2019, Jarak yang telah ditempuh (km): 46.521, Lokasi penjual: Tangerang Selatan, Jenis transmisi: Automatic, Tipe plat nomor: Plat ganjil, Rear camera: Tidak ada atau tidak memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Tidak ada atau tidak memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Ada atau memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 156000000, Cicilan per bulan: 3180000"
XENIA R STD 1.3,Daihatsu,2019,33.937,Jakarta Barat,Manual,Plat ganjil,Ada atau memiliki,Tidak ada atau tidak memiliki,Ada atau memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,Tidak ada atau tidak memiliki,168000000,3420000,"Nama mobil: XENIA R STD 1.3, Brand mobil: Daihatsu, Tahun perilisan mobil: 2019, Jarak yang telah ditempuh (km): 33.937, Lokasi penjual: Jakarta Barat, Jenis transmisi: Manual, Tipe plat nomor: Plat ganjil, Rear camera: Ada atau memiliki, Sun roof: Tidak ada atau tidak memiliki, Spion otomatis: Ada atau memiliki, Electric parking brake: Tidak ada atau tidak memiliki, Map navigator: Tidak ada atau tidak memiliki, Stability control: Tidak ada atau tidak memiliki, Push start: Tidak ada atau tidak memiliki, Sport mode: Tidak ada atau tidak memiliki, Kamera 360 derajat: Tidak ada atau tidak memiliki, Sliding door: Tidak ada atau tidak memiliki, Cruise control: Tidak ada atau tidak memiliki, Harga mobil (Rp): 168000000, Cicilan per bulan: 3420000"
